lat,lon
48.90075,11.02945
49.44239,11.87064
49.44426,11.87312
49.44507,11.85896
49.44595,11.85361
49.44615,11.85357
49.44909000000001,11.88179
49.4544563293457,11.8473958969116
49.45823,11.8962299
49.50416,11.74097
49.5054299,11.73722
49.54481,11.95125
49.5769068,11.696093199999998
49.52597,11.58751
49.47922,11.9786
49.2842399,11.46169
49.27904,11.46179
49.36474000000001,11.46197
49.10501,11.44406
49.10677,11.43963
49.03605,11.4725
49.23752,11.62908
49.29392,12.06761
49.34766,12.388299900000002
49.27108,12.30548
49.40419,12.28253
49.49538,12.39081
49.67594,12.16391
49.67866,12.15321
49.79795,12.15928
49.57814000000001,12.5213
49.5783,12.52026
49.58041,12.52335
49.58101,12.52047
49.62353,12.22517
49.84266,12.11879
49.01953,12.08821
49.01542,12.07574
49.00745,12.17771
49.0242099,12.09684
48.94811,12.01717
